,acronyms,variable,density,role,structure,color
848,ACB,BL18observer,1766.76747730079,observer,Striatum,#9c755f
852,LS,BL18observer,1628.77544399511,observer,Striatum,#9c755f
856,BA,BL18observer,1662.8914057295,observer,Striatum,#9c755f
858,IA,BL18observer,953.732614249225,observer,Striatum,#9c755f
859,MEA,BL18observer,766.210030349271,observer,Striatum,#9c755f
864,MSC,BL18observer,1396.57103402883,observer,Pallidum,#bab0ac
867,BAC,BL18observer,7713.86575208231,observer,Pallidum,#bab0ac
872,SPF,BL18observer,10493.3408042756,observer,Thalamus,#b07aa1
873,SPA,BL18observer,421.580928481803,observer,Thalamus,#b07aa1
879,POL,BL18observer,1777.81387698746,observer,Thalamus,#b07aa1
884,AM,BL18observer,1990.37890347454,observer,Thalamus,#b07aa1
886,IAM,BL18observer,407.89074355084,observer,Thalamus,#b07aa1
887,IAD,BL18observer,2508.99137651941,observer,Thalamus,#b07aa1
889,IMD,BL18observer,176.890983034796,observer,Thalamus,#b07aa1
890,MD,BL18observer,1445.87811847649,observer,Thalamus,#b07aa1
892,PR,BL18observer,151.176851044684,observer,Thalamus,#b07aa1
893,PVT,BL18observer,1265.40269921705,observer,Thalamus,#b07aa1
894,PT,BL18observer,5299.29413753751,observer,Thalamus,#b07aa1
895,RE,BL18observer,337.147032839994,observer,Thalamus,#b07aa1
897,RH,BL18observer,274.78294055911,observer,Thalamus,#b07aa1
898,CM,BL18observer,319.072326753698,observer,Thalamus,#b07aa1
909,LH,BL18observer,3029.01680909009,observer,Thalamus,#b07aa1
915,ADP,BL18observer,701.666815224168,observer,Hypothalamus,#f28e2b
918,AVPV,BL18observer,42.6824749907386,observer,Hypothalamus,#f28e2b
919,DMH,BL18observer,3730.02927908115,observer,Hypothalamus,#f28e2b
921,MPO,BL18observer,1573.69416557544,observer,Hypothalamus,#f28e2b
924,PS,BL18observer,1226.26926459018,observer,Hypothalamus,#f28e2b
926,PVp,BL18observer,279.109346192032,observer,Hypothalamus,#f28e2b
933,AHN,BL18observer,1357.01832917118,observer,Hypothalamus,#f28e2b
936,SUM,BL18observer,1489.80618535603,observer,Hypothalamus,#f28e2b
937,TM,BL18observer,388.485238664581,observer,Hypothalamus,#f28e2b
939,PMd,BL18observer,1122.92155462613,observer,Hypothalamus,#f28e2b
940,PMv,BL18observer,209.746366486177,observer,Hypothalamus,#f28e2b
941,PVHd,BL18observer,573.512556007088,observer,Hypothalamus,#f28e2b
942,VMH,BL18observer,306.596241248002,observer,Hypothalamus,#f28e2b
943,PH,BL18observer,2053.39363190926,observer,Hypothalamus,#f28e2b
944,LHA,BL18observer,6196.15735648593,observer,Hypothalamus,#f28e2b
945,LPO,BL18observer,4802.76897609752,observer,Hypothalamus,#f28e2b
946,PST,BL18observer,3492.95774647887,observer,Hypothalamus,#f28e2b
947,PSTN,BL18observer,1822.03361513015,observer,Hypothalamus,#f28e2b
951,TU,BL18observer,515.357842654809,observer,Hypothalamus,#f28e2b
952,ZI,BL18observer,3204.39154038442,observer,Hypothalamus,#f28e2b
954,SCs,BL18observer,1824.15886453966,observer,Midbrain,#ff9da7
955,IC,BL18observer,3604.54240324719,observer,Midbrain,#ff9da7
962,VTA,BL18observer,12401.1611092664,observer,Midbrain,#ff9da7
966,SCm,BL18observer,3389.03231892014,observer,Midbrain,#ff9da7
967,PAG,BL18observer,1158.28590589847,observer,Midbrain,#ff9da7
968,PRT,BL18observer,2867.53476705154,observer,Midbrain,#ff9da7
970,CUN,BL18observer,1019.53596724877,observer,Midbrain,#ff9da7
989,DR,BL18observer,90.382182470801,observer,Midbrain,#ff9da7
992,MOs,BL8observer,791.605129724571,observer,Isocortex,#e15759
995,VISC,BL8observer,363.442350502567,observer,Isocortex,#e15759
996,AUDd,BL8observer,1622.88883287119,observer,Isocortex,#e15759
998,AUDpo,BL8observer,1372.52134319863,observer,Isocortex,#e15759
999,AUDv,BL8observer,869.021463579518,observer,Isocortex,#e15759
1000,VISal,BL8observer,4698.16793796647,observer,Isocortex,#e15759
1001,VISam,BL8observer,5693.15342328834,observer,Isocortex,#e15759
1002,VISl,BL8observer,2918.26719989262,observer,Isocortex,#e15759
1003,VISp,BL8observer,4050.86947873597,observer,Isocortex,#e15759
1004,VISpl,BL8observer,961.297635427969,observer,Isocortex,#e15759
1007,ACA,BL8observer,2079.13241310075,observer,Isocortex,#e15759
1008,PL,BL8observer,1115.59860468627,observer,Isocortex,#e15759
1010,ORB,BL8observer,1394.24800685791,observer,Isocortex,#e15759
1011,AI,BL8observer,827.736008938867,observer,Isocortex,#e15759
1012,RSP,BL8observer,2910.7682456392,observer,Isocortex,#e15759
1014,VISrl,BL8observer,5885.27248727136,observer,Isocortex,#e15759
1015,PERI,BL8observer,2357.71258618359,observer,Isocortex,#e15759
1017,MOB,BL8observer,3695.88773610377,observer,Olfactory areas,#76b7b2
1018,AOB,BL8observer,3030.740538509,observer,Olfactory areas,#76b7b2
1019,AON,BL8observer,2019.89362604345,observer,Olfactory areas,#76b7b2
1020,TT,BL8observer,2412.54960659387,observer,Olfactory areas,#76b7b2
1021,DP,BL8observer,562.443001243611,observer,Olfactory areas,#76b7b2
1022,PIR,BL8observer,3404.13562688287,observer,Olfactory areas,#76b7b2
1023,NLOT,BL8observer,1303.64622371149,observer,Olfactory areas,#76b7b2
1024,COA,BL8observer,1352.57337557535,observer,Olfactory areas,#76b7b2
1025,PAA,BL8observer,811.367678833629,observer,Olfactory areas,#76b7b2
1026,TR,BL8observer,593.46130441998,observer,Olfactory areas,#76b7b2
1028,DG,BL8observer,1600.46733269423,observer,Hippocampal formation,#edc948
1031,ENT,BL8observer,1491.15677588007,observer,Hippocampal formation,#edc948
1032,PAR,BL8observer,919.159845019955,observer,Hippocampal formation,#edc948
1033,POST,BL8observer,1628.10312909197,observer,Hippocampal formation,#edc948
1034,PRE,BL8observer,1827.37809913775,observer,Hippocampal formation,#edc948
1035,SUB,BL8observer,3282.7480065277,observer,Hippocampal formation,#edc948
1039,CLA,BL8observer,3471.71882693875,observer,Cortical subplate,#59a14f
1040,EP,BL8observer,2439.95977377601,observer,Cortical subplate,#59a14f
1041,LA,BL8observer,1558.16235123491,observer,Cortical subplate,#59a14f
1042,BLA,BL8observer,1153.63886873075,observer,Cortical subplate,#59a14f
1043,BMA,BL8observer,1220.16111008542,observer,Cortical subplate,#59a14f
1046,ACB,BL8observer,1576.87119226797,observer,Striatum,#9c755f
1050,LS,BL8observer,1715.73392093691,observer,Striatum,#9c755f
1054,BA,BL8observer,7674.88341105921,observer,Striatum,#9c755f
1056,IA,BL8observer,1798.4672154414,observer,Striatum,#9c755f
1057,MEA,BL8observer,1742.13901258286,observer,Striatum,#9c755f
1062,MSC,BL8observer,1304.0828860799,observer,Pallidum,#bab0ac
1065,BAC,BL8observer,2257.71680548751,observer,Pallidum,#bab0ac
1070,SPF,BL8observer,8796.86220421529,observer,Thalamus,#b07aa1
1071,SPA,BL8observer,93.684650773734,observer,Thalamus,#b07aa1
1077,POL,BL8observer,1770.01644770243,observer,Thalamus,#b07aa1
1082,AM,BL8observer,666.441475545409,observer,Thalamus,#b07aa1
1084,IAM,BL8observer,135.963581183613,observer,Thalamus,#b07aa1
1085,IAD,BL8observer,1017.15866615652,observer,Thalamus,#b07aa1
1087,IMD,BL8observer,10.1080561734169,observer,Thalamus,#b07aa1
1088,MD,BL8observer,619.855816269942,observer,Thalamus,#b07aa1
1090,PR,BL8observer,172.773544051067,observer,Thalamus,#b07aa1
1091,PVT,BL8observer,477.694393387022,observer,Thalamus,#b07aa1
1092,PT,BL8observer,2799.78021049072,observer,Thalamus,#b07aa1
1093,RE,BL8observer,286.889090056392,observer,Thalamus,#b07aa1
1095,RH,BL8observer,27.478294055911,observer,Thalamus,#b07aa1
1096,CM,BL8observer,49.6334730505752,observer,Thalamus,#b07aa1
1107,LH,BL8observer,4486.85993319297,observer,Thalamus,#b07aa1
1113,ADP,BL8observer,598.983866654777,observer,Hypothalamus,#f28e2b
1116,AVPV,BL8observer,322.489811041136,observer,Hypothalamus,#f28e2b
1117,DMH,BL8observer,5047.36174116285,observer,Hypothalamus,#f28e2b
1119,MPO,BL8observer,3671.95305300935,observer,Hypothalamus,#f28e2b
1122,PS,BL8observer,995.233026334056,observer,Hypothalamus,#f28e2b
1124,PVp,BL8observer,462.913061977028,observer,Hypothalamus,#f28e2b
1131,AHN,BL8observer,1662.02435363251,observer,Hypothalamus,#f28e2b
1134,SUM,BL8observer,1895.81929960691,observer,Hypothalamus,#f28e2b
1135,TM,BL8observer,353.168398785983,observer,Hypothalamus,#f28e2b
1137,PMd,BL8observer,783.433642762415,observer,Hypothalamus,#f28e2b
1138,PMv,BL8observer,337.41806782559,observer,Hypothalamus,#f28e2b
1139,PVHd,BL8observer,500.156298843391,observer,Hypothalamus,#f28e2b
1140,VMH,BL8observer,444.733009282817,observer,Hypothalamus,#f28e2b
1141,PH,BL8observer,2407.38279018968,observer,Hypothalamus,#f28e2b
1142,LHA,BL8observer,7145.12648896586,observer,Hypothalamus,#f28e2b
1143,LPO,BL8observer,5765.89109697269,observer,Hypothalamus,#f28e2b
1144,PST,BL8observer,6647.88732394366,observer,Hypothalamus,#f28e2b
1145,PSTN,BL8observer,1911.85217362249,observer,Hypothalamus,#f28e2b
1149,TU,BL8observer,1030.71568530962,observer,Hypothalamus,#f28e2b
1150,ZI,BL8observer,3285.31051867695,observer,Hypothalamus,#f28e2b
1152,SCs,BL8observer,2182.99574916037,observer,Midbrain,#ff9da7
1153,IC,BL8observer,3511.89828626702,observer,Midbrain,#ff9da7
1160,VTA,BL8observer,10587.2599320902,observer,Midbrain,#ff9da7
1164,SCm,BL8observer,3943.75369007243,observer,Midbrain,#ff9da7
1165,PAG,BL8observer,1158.4818933614,observer,Midbrain,#ff9da7
1166,PRT,BL8observer,3471.31948799293,observer,Midbrain,#ff9da7
1168,CUN,BL8observer,1341.84088592742,observer,Midbrain,#ff9da7
1187,DR,BL8observer,525.346435611531,observer,Midbrain,#ff9da7
1190,MOs,BL21observer,486.39916154885,observer,Isocortex,#e15759
1193,VISC,BL21observer,147.574863702986,observer,Isocortex,#e15759
1194,AUDd,BL21observer,1444.41643559365,observer,Isocortex,#e15759
1196,AUDpo,BL21observer,1390.00569151963,observer,Isocortex,#e15759
1197,AUDv,BL21observer,679.398343755282,observer,Isocortex,#e15759
1198,VISal,BL21observer,3868.22298198272,observer,Isocortex,#e15759
1199,VISam,BL21observer,1845.93417576925,observer,Isocortex,#e15759
1200,VISl,BL21observer,5516.6619950178,observer,Isocortex,#e15759
1201,VISp,BL21observer,3208.5183100499,observer,Isocortex,#e15759
1202,VISpl,BL21observer,2108.80304527298,observer,Isocortex,#e15759
1205,ACA,BL21observer,3057.34661107779,observer,Isocortex,#e15759
1206,PL,BL21observer,1524.25998829765,observer,Isocortex,#e15759
1208,ORB,BL21observer,799.85126621413,observer,Isocortex,#e15759
1209,AI,BL21observer,474.069128945346,observer,Isocortex,#e15759
1210,RSP,BL21observer,1422.56272657859,observer,Isocortex,#e15759
1212,VISrl,BL21observer,2065.5478031303,observer,Isocortex,#e15759
1213,PERI,BL21observer,1447.07313775855,observer,Isocortex,#e15759
1215,MOB,BL21observer,2507.40803140375,observer,Olfactory areas,#76b7b2
1216,AOB,BL21observer,1710.06743772116,observer,Olfactory areas,#76b7b2
1217,AON,BL21observer,1511.62480766668,observer,Olfactory areas,#76b7b2
1218,TT,BL21observer,1898.27570926351,observer,Olfactory areas,#76b7b2
1219,DP,BL21observer,512.919718115243,observer,Olfactory areas,#76b7b2
1220,PIR,BL21observer,1852.47545045026,observer,Olfactory areas,#76b7b2
1221,NLOT,BL21observer,1365.7246153168,observer,Olfactory areas,#76b7b2
1222,COA,BL21observer,832.087990913984,observer,Olfactory areas,#76b7b2
1223,PAA,BL21observer,336.15986693672,observer,Olfactory areas,#76b7b2
1224,TR,BL21observer,290.756209548044,observer,Olfactory areas,#76b7b2
1226,DG,BL21observer,642.447081120333,observer,Hippocampal formation,#edc948
1229,ENT,BL21observer,1065.27945320902,observer,Hippocampal formation,#edc948
1230,PAR,BL21observer,783.057068779678,observer,Hippocampal formation,#edc948
1231,POST,BL21observer,1045.52309567887,observer,Hippocampal formation,#edc948
1232,PRE,BL21observer,2665.66562519851,observer,Hippocampal formation,#edc948
1233,SUB,BL21observer,1827.33412055034,observer,Hippocampal formation,#edc948
1237,CLA,BL21observer,2613.08836706194,observer,Cortical subplate,#59a14f
1238,EP,BL21observer,877.267979731679,observer,Cortical subplate,#59a14f
1239,LA,BL21observer,382.886149383612,observer,Cortical subplate,#59a14f
1240,BLA,BL21observer,733.690935941094,observer,Cortical subplate,#59a14f
1241,BMA,BL21observer,597.020726647298,observer,Cortical subplate,#59a14f
1244,ACB,BL21observer,508.973716346461,observer,Striatum,#9c755f
1248,LS,BL21observer,1442.52395437507,observer,Striatum,#9c755f
1252,BA,BL21observer,3389.74017321782,observer,Striatum,#9c755f
1254,IA,BL21observer,753.902923644625,observer,Striatum,#9c755f
1255,MEA,BL21observer,689.864973303666,observer,Striatum,#9c755f
1260,MSC,BL21observer,1527.59591028981,observer,Pallidum,#bab0ac
1263,BAC,BL21observer,1505.14453699167,observer,Pallidum,#bab0ac
1268,SPF,BL21observer,645.489418559542,observer,Thalamus,#b07aa1
1269,SPA,BL21observer,100.376411543286,observer,Thalamus,#b07aa1
1275,POL,BL21observer,31.1897171401309,observer,Thalamus,#b07aa1
1280,AM,BL21observer,398.075780694909,observer,Thalamus,#b07aa1
1282,IAM,BL21observer,1845.22003034904,observer,Thalamus,#b07aa1
1283,IAD,BL21observer,1311.00450304618,observer,Thalamus,#b07aa1
1285,IMD,BL21observer,363.890022243009,observer,Thalamus,#b07aa1
1286,MD,BL21observer,438.103782615298,observer,Thalamus,#b07aa1
1288,PR,BL21observer,43.1933860127668,observer,Thalamus,#b07aa1
1289,PVT,BL21observer,1875.6816589319,observer,Thalamus,#b07aa1
1290,PT,BL21observer,3270.46789805148,observer,Thalamus,#b07aa1
1291,RE,BL21observer,802.033003588309,observer,Thalamus,#b07aa1
1293,RH,BL21observer,760.232802213538,observer,Thalamus,#b07aa1
1294,CM,BL21observer,811.861809184409,observer,Thalamus,#b07aa1
1305,LH,BL21observer,576.955582683826,observer,Thalamus,#b07aa1
1311,ADP,BL21observer,513.414742846952,observer,Hypothalamus,#f28e2b
1314,AVPV,BL21observer,199.184883290113,observer,Hypothalamus,#f28e2b
1315,DMH,BL21observer,3609.39443823118,observer,Hypothalamus,#f28e2b
1317,MPO,BL21observer,2458.31514622435,observer,Hypothalamus,#f28e2b
1320,PS,BL21observer,568.704586476603,observer,Hypothalamus,#f28e2b
1322,PVp,BL21observer,1116.43738476813,observer,Hypothalamus,#f28e2b
1329,AHN,BL21observer,2114.36379668957,observer,Hypothalamus,#f28e2b
1332,SUM,BL21observer,1411.22300195264,observer,Hypothalamus,#f28e2b
1333,TM,BL21observer,412.029798583647,observer,Hypothalamus,#f28e2b
1335,PMd,BL21observer,900.948689176777,observer,Hypothalamus,#f28e2b
1336,PMv,BL21observer,145.910515816471,observer,Hypothalamus,#f28e2b
1337,PVHd,BL21observer,486.8187975409,observer,Hypothalamus,#f28e2b
1338,VMH,BL21observer,572.76220892484,observer,Hypothalamus,#f28e2b
1339,PH,BL21observer,1813.55315148013,observer,Hypothalamus,#f28e2b
1340,LHA,BL21observer,2710.31335564345,observer,Hypothalamus,#f28e2b
1341,LPO,BL21observer,2019.34604676827,observer,Hypothalamus,#f28e2b
1342,PST,BL21observer,1239.43661971831,observer,Hypothalamus,#f28e2b
1343,PSTN,BL21observer,192.468339626425,observer,Hypothalamus,#f28e2b
1347,TU,BL21observer,817.70111034563,observer,Hypothalamus,#f28e2b
1348,ZI,BL21observer,522.938897215513,observer,Hypothalamus,#f28e2b
1350,SCs,BL21observer,1513.2810862167,observer,Midbrain,#ff9da7
1351,IC,BL21observer,771.176492270163,observer,Midbrain,#ff9da7
1358,VTA,BL21observer,2463.7796034662,observer,Midbrain,#ff9da7
1362,SCm,BL21observer,1247.28463078318,observer,Midbrain,#ff9da7
1363,PAG,BL21observer,559.34821919361,observer,Midbrain,#ff9da7
1364,PRT,BL21observer,1043.78619646612,observer,Midbrain,#ff9da7
1366,CUN,BL21observer,292.705487371422,observer,Midbrain,#ff9da7
1385,DR,BL21observer,344.582070669929,observer,Midbrain,#ff9da7
2,MOs,BL4demonstrator,1831.67453349349,demonstrator,Isocortex,#e15759
5,VISC,BL4demonstrator,1915.33333742174,demonstrator,Isocortex,#e15759
6,AUDd,BL4demonstrator,4486.00957902697,demonstrator,Isocortex,#e15759
8,AUDpo,BL4demonstrator,5160.796812749,demonstrator,Isocortex,#e15759
9,AUDv,BL4demonstrator,2875.78164610445,demonstrator,Isocortex,#e15759
10,VISal,BL4demonstrator,6921.06144580597,demonstrator,Isocortex,#e15759
11,VISam,BL4demonstrator,3068.18019561647,demonstrator,Isocortex,#e15759
12,VISl,BL4demonstrator,4863.27333883405,demonstrator,Isocortex,#e15759
13,VISp,BL4demonstrator,4199.56748246865,demonstrator,Isocortex,#e15759
14,VISpl,BL4demonstrator,2276.39004224831,demonstrator,Isocortex,#e15759
17,ACA,BL4demonstrator,2247.97860939727,demonstrator,Isocortex,#e15759
18,PL,BL4demonstrator,2087.9308622444,demonstrator,Isocortex,#e15759
20,ORB,BL4demonstrator,2133.36743218018,demonstrator,Isocortex,#e15759
21,AI,BL4demonstrator,2661.80862310913,demonstrator,Isocortex,#e15759
22,RSP,BL4demonstrator,2039.27857528398,demonstrator,Isocortex,#e15759
24,VISrl,BL4demonstrator,5119.51725438431,demonstrator,Isocortex,#e15759
25,PERI,BL4demonstrator,8407.73286467487,demonstrator,Isocortex,#e15759
27,MOB,BL4demonstrator,6377.65778701745,demonstrator,Olfactory areas,#76b7b2
28,AOB,BL4demonstrator,4539.30321446046,demonstrator,Olfactory areas,#76b7b2
29,AON,BL4demonstrator,1745.79289790281,demonstrator,Olfactory areas,#76b7b2
30,TT,BL4demonstrator,2785.65027720609,demonstrator,Olfactory areas,#76b7b2
31,DP,BL4demonstrator,1322.9791350007,demonstrator,Olfactory areas,#76b7b2
32,PIR,BL4demonstrator,4902.77855195604,demonstrator,Olfactory areas,#76b7b2
33,NLOT,BL4demonstrator,6021.60398571496,demonstrator,Olfactory areas,#76b7b2
34,COA,BL4demonstrator,1781.8160081296,demonstrator,Olfactory areas,#76b7b2
35,PAA,BL4demonstrator,854.151661898302,demonstrator,Olfactory areas,#76b7b2
36,TR,BL4demonstrator,1425.9003153178,demonstrator,Olfactory areas,#76b7b2
38,DG,BL4demonstrator,4360.39061126263,demonstrator,Hippocampal formation,#edc948
41,ENT,BL4demonstrator,4422.72678506478,demonstrator,Hippocampal formation,#edc948
42,PAR,BL4demonstrator,3587.14714364786,demonstrator,Hippocampal formation,#edc948
43,POST,BL4demonstrator,3479.87537815505,demonstrator,Hippocampal formation,#edc948
44,PRE,BL4demonstrator,5357.94355281165,demonstrator,Hippocampal formation,#edc948
45,SUB,BL4demonstrator,8267.15845617012,demonstrator,Hippocampal formation,#edc948
49,CLA,BL4demonstrator,4178.461588137,demonstrator,Cortical subplate,#59a14f
50,EP,BL4demonstrator,4329.84210236994,demonstrator,Cortical subplate,#59a14f
51,LA,BL4demonstrator,2878.81243868106,demonstrator,Cortical subplate,#59a14f
52,BLA,BL4demonstrator,2644.4053122764,demonstrator,Cortical subplate,#59a14f
53,BMA,BL4demonstrator,2230.12117266376,demonstrator,Cortical subplate,#59a14f
56,ACB,BL4demonstrator,2671.03550126658,demonstrator,Striatum,#9c755f
60,LS,BL4demonstrator,3430.23438830018,demonstrator,Striatum,#9c755f
64,BA,BL4demonstrator,24367.754830113,demonstrator,Striatum,#9c755f
66,IA,BL4demonstrator,4032.92648311101,demonstrator,Striatum,#9c755f
67,MEA,BL4demonstrator,3730.78977562622,demonstrator,Striatum,#9c755f
72,MSC,BL4demonstrator,8757.08614163111,demonstrator,Pallidum,#bab0ac
75,BAC,BL4demonstrator,6208.72121509064,demonstrator,Pallidum,#bab0ac
80,SPF,BL4demonstrator,10054.7390198698,demonstrator,Thalamus,#b07aa1
81,SPA,BL4demonstrator,1244.66750313675,demonstrator,Thalamus,#b07aa1
87,POL,BL4demonstrator,2191.0776290942,demonstrator,Thalamus,#b07aa1
92,AM,BL4demonstrator,3171.18796081675,demonstrator,Thalamus,#b07aa1
94,IAM,BL4demonstrator,2039.4537177542,demonstrator,Thalamus,#b07aa1
95,IAD,BL4demonstrator,1491.8327103629,demonstrator,Thalamus,#b07aa1
97,IMD,BL4demonstrator,1228.12882507016,demonstrator,Thalamus,#b07aa1
98,MD,BL4demonstrator,2802.23657858578,demonstrator,Thalamus,#b07aa1
100,PR,BL4demonstrator,442.73220663086,demonstrator,Thalamus,#b07aa1
101,PVT,BL4demonstrator,2374.82355569548,demonstrator,Thalamus,#b07aa1
102,PT,BL4demonstrator,6151.40115812165,demonstrator,Thalamus,#b07aa1
103,RE,BL4demonstrator,1761.12207837537,demonstrator,Thalamus,#b07aa1
105,RH,BL4demonstrator,1135.76948764432,demonstrator,Thalamus,#b07aa1
106,CM,BL4demonstrator,1425.18972616652,demonstrator,Thalamus,#b07aa1
117,LH,BL4demonstrator,4218.98769837548,demonstrator,Thalamus,#b07aa1
123,ADP,BL4demonstrator,2002.31749710311,demonstrator,Hypothalamus,#f28e2b
126,AVPV,BL4demonstrator,578.584660985568,demonstrator,Hypothalamus,#f28e2b
127,DMH,BL4demonstrator,6605.96388494449,demonstrator,Hypothalamus,#f28e2b
129,MPO,BL4demonstrator,8324.7490178961,demonstrator,Hypothalamus,#f28e2b
132,PS,BL4demonstrator,2203.73027259684,demonstrator,Hypothalamus,#f28e2b
134,PVp,BL4demonstrator,721.599773081839,demonstrator,Hypothalamus,#f28e2b
141,AHN,BL4demonstrator,5495.27803393891,demonstrator,Hypothalamus,#f28e2b
144,SUM,BL4demonstrator,3971.72506117993,demonstrator,Hypothalamus,#f28e2b
145,TM,BL4demonstrator,788.742757288695,demonstrator,Hypothalamus,#f28e2b
147,PMd,BL4demonstrator,2271.957564011,demonstrator,Hypothalamus,#f28e2b
148,PMv,BL4demonstrator,793.388429752063,demonstrator,Hypothalamus,#f28e2b
149,PVHd,BL4demonstrator,1333.75013024904,demonstrator,Hypothalamus,#f28e2b
150,VMH,BL4demonstrator,1371.26011195535,demonstrator,Hypothalamus,#f28e2b
151,PH,BL4demonstrator,4799.37474741065,demonstrator,Hypothalamus,#f28e2b
152,LHA,BL4demonstrator,9329.7325126957,demonstrator,Hypothalamus,#f28e2b
153,LPO,BL4demonstrator,12231.6509351147,demonstrator,Hypothalamus,#f28e2b
154,PST,BL4demonstrator,3154.92957746479,demonstrator,Hypothalamus,#f28e2b
155,PSTN,BL4demonstrator,2117.15173589067,demonstrator,Hypothalamus,#f28e2b
159,TU,BL4demonstrator,1594.17359327888,demonstrator,Hypothalamus,#f28e2b
160,ZI,BL4demonstrator,3192.25369364054,demonstrator,Hypothalamus,#f28e2b
162,SCs,BL4demonstrator,3234.67043726117,demonstrator,Midbrain,#ff9da7
163,IC,BL4demonstrator,6123.94769556918,demonstrator,Midbrain,#ff9da7
170,VTA,BL4demonstrator,11586.7564991057,demonstrator,Midbrain,#ff9da7
174,SCm,BL4demonstrator,4497.13353432955,demonstrator,Midbrain,#ff9da7
175,PAG,BL4demonstrator,2484.92504245122,demonstrator,Midbrain,#ff9da7
176,PRT,BL4demonstrator,3388.98520786456,demonstrator,Midbrain,#ff9da7
178,CUN,BL4demonstrator,2164.04731112804,demonstrator,Midbrain,#ff9da7
197,DR,BL4demonstrator,1982.7591279532,demonstrator,Midbrain,#ff9da7
200,MOs,BL9demonstrator,478.794604603408,demonstrator,Isocortex,#e15759
203,VISC,BL9demonstrator,171.124044081122,demonstrator,Isocortex,#e15759
204,AUDd,BL9demonstrator,1644.06352407361,demonstrator,Isocortex,#e15759
206,AUDpo,BL9demonstrator,1168.53727945361,demonstrator,Isocortex,#e15759
207,AUDv,BL9demonstrator,1028.22376204158,demonstrator,Isocortex,#e15759
208,VISal,BL9demonstrator,2839.28537573387,demonstrator,Isocortex,#e15759
209,VISam,BL9demonstrator,1539.80152780752,demonstrator,Isocortex,#e15759
210,VISl,BL9demonstrator,2637.81035211073,demonstrator,Isocortex,#e15759
211,VISp,BL9demonstrator,1181.18760342121,demonstrator,Isocortex,#e15759
212,VISpl,BL9demonstrator,986.901204410312,demonstrator,Isocortex,#e15759
215,ACA,BL9demonstrator,106.639702924122,demonstrator,Isocortex,#e15759
216,PL,BL9demonstrator,143.266347128131,demonstrator,Isocortex,#e15759
218,ORB,BL9demonstrator,574.045113110868,demonstrator,Isocortex,#e15759
219,AI,BL9demonstrator,525.905713621278,demonstrator,Isocortex,#e15759
220,RSP,BL9demonstrator,352.150008287523,demonstrator,Isocortex,#e15759
222,VISrl,BL9demonstrator,1944.25796718838,demonstrator,Isocortex,#e15759
223,PERI,BL9demonstrator,516.966337704475,demonstrator,Isocortex,#e15759
225,MOB,BL9demonstrator,2065.69091531193,demonstrator,Olfactory areas,#76b7b2
226,AOB,BL9demonstrator,522.823165672711,demonstrator,Olfactory areas,#76b7b2
227,AON,BL9demonstrator,2450.62334169302,demonstrator,Olfactory areas,#76b7b2
228,TT,BL9demonstrator,913.844547952222,demonstrator,Olfactory areas,#76b7b2
229,DP,BL9demonstrator,173.331490949289,demonstrator,Olfactory areas,#76b7b2
230,PIR,BL9demonstrator,2368.65272688449,demonstrator,Olfactory areas,#76b7b2
231,NLOT,BL9demonstrator,1066.61963758213,demonstrator,Olfactory areas,#76b7b2
232,COA,BL9demonstrator,628.369896586768,demonstrator,Olfactory areas,#76b7b2
233,PAA,BL9demonstrator,412.559836695065,demonstrator,Olfactory areas,#76b7b2
234,TR,BL9demonstrator,290.756209548044,demonstrator,Olfactory areas,#76b7b2
236,DG,BL9demonstrator,854.618478623134,demonstrator,Hippocampal formation,#edc948
239,ENT,BL9demonstrator,478.128099184367,demonstrator,Hippocampal formation,#edc948
240,PAR,BL9demonstrator,397.121799166837,demonstrator,Hippocampal formation,#edc948
241,POST,BL9demonstrator,400.523772971508,demonstrator,Hippocampal formation,#edc948
242,PRE,BL9demonstrator,978.002113737556,demonstrator,Hippocampal formation,#edc948
243,SUB,BL9demonstrator,665.720237226518,demonstrator,Hippocampal formation,#edc948
247,CLA,BL9demonstrator,1236.79983209693,demonstrator,Cortical subplate,#59a14f
248,EP,BL9demonstrator,1077.80411381047,demonstrator,Cortical subplate,#59a14f
249,LA,BL9demonstrator,341.935759075205,demonstrator,Cortical subplate,#59a14f
250,BLA,BL9demonstrator,907.126509111764,demonstrator,Cortical subplate,#59a14f
251,BMA,BL9demonstrator,690.305215185939,demonstrator,Cortical subplate,#59a14f
254,ACB,BL9demonstrator,547.297456409774,demonstrator,Striatum,#9c755f
258,LS,BL9demonstrator,143.697341329368,demonstrator,Striatum,#9c755f
262,BA,BL9demonstrator,4029.31379080609,demonstrator,Striatum,#9c755f
264,IA,BL9demonstrator,908.316775475452,demonstrator,Striatum,#9c755f
265,MEA,BL9demonstrator,654.91181465628,demonstrator,Striatum,#9c755f
270,MSC,BL9demonstrator,174.186011970483,demonstrator,Pallidum,#bab0ac
273,BAC,BL9demonstrator,0.0,demonstrator,Pallidum,#bab0ac
278,SPF,BL9demonstrator,405.49976294125,demonstrator,Thalamus,#b07aa1
279,SPA,BL9demonstrator,0.0,demonstrator,Thalamus,#b07aa1
285,POL,BL9demonstrator,280.707454261178,demonstrator,Thalamus,#b07aa1
290,AM,BL9demonstrator,93.9279931976751,demonstrator,Thalamus,#b07aa1
292,IAM,BL9demonstrator,0.0,demonstrator,Thalamus,#b07aa1
